Year,Pig Manure (t),Cassava (t),Fish waste water (t),Kitchen food waste (t),Municipal fecal residue (t),Tea waste (t),Chicken litter (t),Bagasse feed (t),Alcohol waste (t),Chinese medicine waste (t),Energy grass (t),Banana fruit shafts (t),Lemon waste (t),Percolate (t),Other waste (t),Raw Biogas Produced (m3)
2015,9.44,67,8.36,0,0,0,0,5.8,0,0,0,0,0,0,0,8520
2015,3.12,67,8.48,0,0,0,0,12,0,0,0,0,0,0,0,9525
2015,14,67,0,0,0,0,0,5,0,0,0,0,0,0,0,9594
2015,9.86,67,17.14,0,0,0,0,10,0,0,0,0,0,0,0,10937
2015,14.22,67,8.46,0,0,0,0,8.4,0,0,0,0,0,0,0,10102
2015,9.98,67,16.22,0,0,0,0,15,0,0,0,0,0,0,0,10533
2015,17.4,67,0,0,0,0,0,13.2,0,0,0,0,0,0,0,10283
2015,7.3,67,8.08,0,0,0,0,0,0,0,0,0,0,0,0,11183
2015,10.18,65.5,8.36,0,0,0,0,7,0,0,0,0,0,0,0,8913
2015,12.1,20.28,8.28,0,0,0,0,28.37,0,0,0,0,0,0,0,7856
2015,6.48,1.5,0,0,0,0,0,33.4,0,0,0,0,0,0,10,7444
2015,18.22,0,0,0,0,0,0,21,0,0,0,0,0,0,15,7054
2015,0,0,0,0,0,0,0,8,0,0,0,0,0,0,15,5486
2015,19.76,0,0,0,0,0,0,30,0,0,0,0,0,0,4.8,6975
2015,22.36,0,0,0,0,0,0,22,0,0,0,0,0,0,0,6794
2015,8.28,0,0,0,0,0,0,30,0,0,0,0,0,0,0,7096
2015,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4847
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3874
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3448
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3691
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2715
2015,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,3024
2015,9.4,0,0,0,0,0,0,20,0,0,0,0,0,0,0,4174
2015,4.4,0,0,0,0,0,0,32,0,0,0,0,0,0,0,4343
2015,13.44,0,0,0,0,0,0,30,0,0,0,0,0,0,0,5129
2015,4.86,0,0,0,0,0,0,26,0,0,0,0,0,0,0,4921
2015,15.82,0,0,0,0,0,0,25,0,0,0,0,0,0,0,5241
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,5565
2015,10.5,0,0,0,0,0,0,39,0,0,0,0,0,0,4.02,6695
2015,14.24,0,0,0,0,0,0,23,0,0,0,0,0,0,0,6555
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4988
2015,14.76,0,0,0,0,0,0,28,0,0,0,0,0,0,0,5885
